pällǩedda	pällǩeâdda
meestarvuõđâ	meestarvuõđ
jijjâs	jiijjâs
proʹbleeʹm	probleeʹm
räʹtǩǩeemmiârkk	räʹtǩǩeem-miârkk
räʹtǩǩeem-miârkk
käunnjed	käunnʼjed
maaʹljed	maaʹlʼjed
maaljed	maaʹlʼjed
maalʼjed	maaʹlʼjed
jeeʼel	jeeʹel
piiʹjjâd	piijjâd
ǩiõll’lääʹǩǩ	ǩiõll-lääʹǩǩ
põõrt’tää	põõrt-tää
liâžžžem	liâžžʼžem
kâʹrvvveʹted	kâʹrvvʼveʹted
kâʹrvveʹted	kâʹrvvʼveʹted
uurččiǩ	uurčʼčiǩ
sääʹmǩiõll’lääʹǩǩ	sääʹmǩiõll-lääʹǩǩ
sääʹmǩiõll'lääʹǩǩ	sääʹmǩiõll-lääʹǩǩ
sääʹm ǩiõll-lääʹjj	sääʹmǩiõll-lääʹjj
smiõđam	smiõttam
miõttam	miõđam
jeäʹt	jeät
ouddum	uvddum
tel.	teʹl.
vuuʹvd	vuuʹd
sääʹmvuuʹvd	sääʹmvuuʹd
mueʹrjid	muõʹrjid
mainsteʹmen	mainstemen
Če'vetjäu'rr	Čeʹvetjäuʹrr
Če´vetjäu´rr	Čeʹvetjäuʹrr
Čevetjäuʹrr	Čeʹvetjäuʹrr
illa	iʹlla
štõ	što
sto	što
stõ	što
tiõrvvtõõvvmõš	tiõrvtõõvvmõš
tiõrvvtõõllâd	tiõrvtõõllâd
tiõrvvtõõvvâd	tiõrvtõõvvâd
čâʹlmmriõbbås	čâʹlmmriõbbâs
aʹlbum	albuum
albumm	albuum
album	albuum
čee’estõõllâd	čeeʹestõõllâd
sosiaalaž	sosiaalʼlaž
sosiaallaž	sosiaalʼlaž
jiijjjâs	jiijjâs
påår	poor
piij	pii
vueʹl	vueʹlj
vueʹlg	vueʹlj
vueʹlgžem	vuõʹlgžem
